iso_code,location,avg_deaths
COL,Colombia,98509.71794871795
CAN,Colombia,87207
CAN,Canada,27126.666666666668
BWA,Canada,26876
IRL,Ireland,6976.45
JAM,Jamaica,2946.730769230769
PYF,Jamaica,2916
BWA,Botswana,2605.4615384615386
AND,Botswana,2580
GUY,Guyana,203.03508771929825
AND,Andorra,84.48717948717949
AFG,Andorra,79
PYF,"French Polynesia",10.948717948717949
COL,"French Polynesia",2
AFG,Afghanistan,0.225
